Rank,Name,Country,Sector,Absolute Growth Rate (%),Compound Annual Growth Rate (%),Revenue 2022 (€),Revenue 2019 (€),Number of employees 2022,Number of employees 2019,Founding Year,Country Code,Total Revenue 2022 (€),Population 2022,GDP 2022 (€)
750,Eciglogística,Spain,Wholesale,216.5,46.8,59262808.0,18725530.0,48,39,2013,ESP,1443070953.0,47778340,1328053696748.224
751,Pallet Solution,Hungary,Wholesale,216.3,46.8,17299509.0,6616754.0,5,4,2010,HUN,240441941.0,9643048,166111976935.68777
752,Mint Italia,Italy,Logistics & Transportation,216.0,46.7,5739917.0,1816378.0,7,5,2015,ITA,6072359015.0,58940425,1919988802837.6548
753,Kiwi Digital,Italy,Advertising & Marketing,215.9,46.7,7863067.0,2489457.0,41,22,2013,ITA,6072359015.0,58940425,1919988802837.6548
754,Taurus Corporate Finance,Netherlands,Management Consulting,215.6,46.7,5460000.0,1730000.0,16,10,2011,NLD,367871630.0,17700982,945503780118.286
755,Pomilio Blumm,Italy,Advertising & Marketing,215.5,46.7,74347764.0,23562064.0,58,38,1991,ITA,6072359015.0,58940425,1919988802837.6548
756,CRMpartners,Italy,IT & Software,214.9,46.6,3226109.0,1024563.0,28,9,2015,ITA,6072359015.0,58940425,1919988802837.6548
757,DYM Resources,Germany,Energy & Utilities,214.1,46.5,55905435.0,17798680.0,9,8,2016,DEU,3735278366.0,83797985,3824049172030.187
758,Boxt,UK,Ecommerce,213.7,46.4,81132771.0,27101843.0,74,36,2017,GBR,5744139508.0,66971395,2893534419072.2114
759,Upline,Italy,Professional Scientific & Technical Services,213.3,46.3,7477222.0,2386446.0,13,12,2011,ITA,6072359015.0,58940425,1919988802837.6548
760,Abtot,Sweden,Construction & Engineering,213.0,46.3,19085783.0,6503388.0,48,19,2012,SWE,608209082.0,10486941,554262386048.8254
761,.mattomedia,Germany,Advertising & Marketing,213.0,46.3,2980000.0,952000.0,35,12,2015,DEU,3735278366.0,83797985,3824049172030.187
762,Guzzini & Fontana Projects,Italy,Furniture & Interiors,212.5,46.2,5683869.0,1818819.0,39,18,2015,ITA,6072359015.0,58940425,1919988802837.6548
763,NuBeTech,Italy,IT & Software,212.2,46.2,4435226.0,1420460.0,64,17,2018,ITA,6072359015.0,58940425,1919988802837.6548
764,MultiBel,Netherlands,IT & Software,211.2,46.0,3050000.0,980000.0,25,18,1995,NLD,367871630.0,17700982,945503780118.286
765,Hyntelo,Italy,IT & Software,211.2,46.0,6344710.0,2038633.0,61,12,2015,ITA,6072359015.0,58940425,1919988802837.6548
766,Imaco,Italy,Construction & Engineering,211.1,46.0,24295117.0,7809797.0,126,42,2006,ITA,6072359015.0,58940425,1919988802837.6548
767,bitside,Germany,IT & Software,210.7,45.9,2631148.0,846725.0,27,4,2018,DEU,3735278366.0,83797985,3824049172030.187
768,MCO,Ireland,Fintech Financial Services & Insurance,210.7,45.9,32853137.0,10109547.0,300,68,1998,IRL,445338294.0,5127170,499392249088.91315
769,Cicli Lombardo,Italy,Retail,210.5,45.9,35724268.0,11504758.0,79,47,2005,ITA,6072359015.0,58940425,1919988802837.6548
770,AS Labruna,Italy,Mechanical & Plant Engineering,210.3,45.9,27675090.0,8919118.0,27,16,1971,ITA,6072359015.0,58940425,1919988802837.6548
771,Onlineformapro,France,IT & Software,210.0,45.8,21124253.0,6813535.0,178,84,1999,FRA,3336947062.0,67971311,2603175697935.03
772,Physidia,France,Health Care & Life Sciences,209.8,45.8,24336557.0,7854477.0,59,46,2010,FRA,3336947062.0,67971311,2603175697935.03
773,MPB Group,UK,Ecommerce,209.6,45.7,154212371.0,52208161.0,408,145,2011,GBR,5744139508.0,66971395,2893534419072.2114
774,Walz Haustechnik,Germany,Construction & Engineering,209.4,45.7,2866399.0,926472.0,18,12,2016,DEU,3735278366.0,83797985,3824049172030.187
775,Lakógép,Hungary,Construction & Engineering,208.7,45.6,45499582.0,17832303.0,34,16,2011,HUN,240441941.0,9643048,166111976935.68777
776,BPO Group,UK,Hospitality & Travel,207.6,45.4,22971447.0,7826982.0,10,7,1970,GBR,5744139508.0,66971395,2893534419072.2114
777,The Information Lab,Italy,IT & Software,206.4,45.2,9192181.0,3000543.0,60,20,2015,ITA,6072359015.0,58940425,1919988802837.6548
778,The Software House,Poland,IT & Software,206.2,45.2,14194386.0,5121987.0,288,146,2012,POL,1863345656.0,36821749,644566697354.571
779,Epassi,Finland,Fintech Financial Services & Insurance,205.8,45.1,415616434.0,135923327.0,146,55,2007,FIN,522337495.0,5556106,264758103263.71317
780,Newroom,Germany,Ecommerce,205.7,45.1,4267000.0,1396000.0,9,5,2016,DEU,3735278366.0,83797985,3824049172030.187
781,Hostersi,Poland,IT & Software,205.6,45.1,7421825.0,2683821.0,67,43,2007,POL,1863345656.0,36821749,644566697354.571
782,Cladspray Solutions,UK,Construction & Engineering,205.5,45.1,2774290.0,951848.0,14,8,2013,GBR,5744139508.0,66971395,2893534419072.2114
783,Corset&Co,Italy,Manufacturing,205.1,45.0,19814635.0,6494749.0,106,47,2014,ITA,6072359015.0,58940425,1919988802837.6548
784,B&T Management,Italy,Hospitality & Travel,205.0,45.0,18623828.0,6105989.0,14,14,2009,ITA,6072359015.0,58940425,1919988802837.6548
785,Kernel Global,UK,Employment Services,204.4,44.9,56180222.0,19339806.0,254,195,2019,GBR,5744139508.0,66971395,2893534419072.2114
786,Ultra Premium Direct,France,Food & Beverages,204.1,44.9,38840713.0,12770410.0,109,43,2013,FRA,3336947062.0,67971311,2603175697935.03
787,Alta Costruzioni,Italy,Construction & Engineering,203.7,44.8,3505889.0,1154300.0,7,5,2003,ITA,6072359015.0,58940425,1919988802837.6548
788,Farmed,Italy,Pharmaceuticals & Cosmetics,203.6,44.8,12741776.0,4196462.0,9,3,2006,ITA,6072359015.0,58940425,1919988802837.6548
789,Expert Line,France,IT & Software,203.6,44.8,22219000.0,7318168.0,36,26,1987,FRA,3336947062.0,67971311,2603175697935.03
790,Booster Box,Italy,Advertising & Marketing,203.3,44.7,4937825.0,1628120.0,57,25,2016,ITA,6072359015.0,58940425,1919988802837.6548
791,Pasqualone,Italy,Mechanical & Plant Engineering,203.0,44.7,7165566.0,2365157.0,14,10,2010,ITA,6072359015.0,58940425,1919988802837.6548
792,Darktrace,UK,IT & Software,202.9,44.7,386682890.0,122027133.0,2000,1500,2013,GBR,5744139508.0,66971395,2893534419072.2114
793,Serre,Italy,Food & Beverages,202.7,44.6,18845777.0,6226819.0,24,10,1995,ITA,6072359015.0,58940425,1919988802837.6548
794,Suedtirolnet,Italy,Media & Telecommunications,202.5,44.6,2665080.0,881143.0,2,2,2015,ITA,6072359015.0,58940425,1919988802837.6548
795,AppTweak,Belgium,IT & Software,202.3,44.6,6862864.0,2269892.0,105,27,2014,BEL,270972276.0,11685814,546504122379.75134
796,Kyo Electric,Spain,Media & Telecommunications,202.2,44.6,9191407.0,3041039.0,12,12,2014,ESP,1443070953.0,47778340,1328053696748.224
797,Reparo,Italy,Food & Beverages,202.2,44.6,32953445.0,10903628.0,4,3,1999,ITA,6072359015.0,58940425,1919988802837.6548
798,Leone,Italy,Waste management & recycling,201.9,44.5,51638507.0,17106532.0,13,10,2017,ITA,6072359015.0,58940425,1919988802837.6548
799,Jakob Trading,Germany,Wholesale,201.8,44.5,15930849.0,5279316.0,3,3,2018,DEU,3735278366.0,83797985,3824049172030.187
800,Aksilia,Italy,Management Consulting,201.7,44.5,1733638.0,574709.0,3,1,2011,ITA,6072359015.0,58940425,1919988802837.6548
801,retesol,Germany,Wholesale,201.6,44.5,26502714.0,8788263.0,22,10,2014,DEU,3735278366.0,83797985,3824049172030.187
802,Global Commissioning,UK,Construction & Engineering,201.4,44.5,9247758.0,3215233.0,58,17,2019,GBR,5744139508.0,66971395,2893534419072.2114
803,Signicat,Norway,IT & Software,201.1,44.4,80951066.0,26889264.0,452,238,2006,NOR,520823790.0,5457127,555789991006.327
804,Willo,Italy,IT & Software,200.6,44.3,1551217.0,516031.0,8,3,2019,ITA,6072359015.0,58940425,1919988802837.6548
805,Voto Group,Italy,Construction & Engineering,200.5,44.3,4350096.0,1447560.0,14,8,1995,ITA,6072359015.0,58940425,1919988802837.6548
806,Stella Group,Italy,Wholesale,200.5,44.3,28468412.0,9473612.0,29,25,1991,ITA,6072359015.0,58940425,1919988802837.6548
807,Expleo,Hungary,Electrical Manufacturing,200.3,44.3,4498818.0,1812498.0,20,16,2011,HUN,240441941.0,9643048,166111976935.68777
808,Thought Machine,UK,IT & Software,199.2,44.1,48600227.0,17022527.0,556,204,2014,GBR,5744139508.0,66971395,2893534419072.2114
809,Solarplay,Italy,Energy & Utilities,199.1,44.1,27033068.0,9037105.0,14,14,2010,ITA,6072359015.0,58940425,1919988802837.6548
810,Walliance,Italy,Fintech Financial Services & Insurance,199.0,44.1,2082871.0,696550.0,15,7,2016,ITA,6072359015.0,58940425,1919988802837.6548
811,Tikamoon,France,Retail,198.7,44.0,102785000.0,34406880.0,160,80,2008,FRA,3336947062.0,67971311,2603175697935.03
812,European Recruitment,UK,Employment Services,197.4,43.8,28745511.0,10128301.0,66,38,2009,GBR,5744139508.0,66971395,2893534419072.2114
813,Sertec Engineering Consulting,Italy,Construction & Engineering,197.4,43.8,3585166.0,1205664.0,15,8,1968,ITA,6072359015.0,58940425,1919988802837.6548
814,Gyconphy,Netherlands,Management Consulting,197.1,43.8,12059424.0,4059480.0,13,5,2018,NLD,367871630.0,17700982,945503780118.286
815,Epos Now,UK,Fintech Financial Services & Insurance,196.9,43.7,67823395.0,23939238.0,355,394,2011,GBR,5744139508.0,66971395,2893534419072.2114
816,Domum-Bau,Germany,Construction & Engineering,196.8,43.7,7513879.0,2531621.0,9,1,2017,DEU,3735278366.0,83797985,3824049172030.187
817,Eco CO2,France,Energy & Utilities,196.4,43.7,16926652.0,5710024.0,128,54,2009,FRA,3336947062.0,67971311,2603175697935.03
818,Automated Analytics,UK,IT & Software,195.7,43.5,3297532.0,1168751.0,29,10,2013,GBR,5744139508.0,66971395,2893534419072.2114
819,Shown.io,Belgium,Advertising & Marketing,195.2,43.5,2874436.0,973716.0,10,9,2016,BEL,270972276.0,11685814,546504122379.75134
820,Parinox,France,Wholesale,195.2,43.5,8027885.0,2719492.0,34,9,2010,FRA,3336947062.0,67971311,2603175697935.03
821,HÄNER Anbaugeräte,Germany,Wholesale,195.2,43.4,7709215.0,2611713.0,12,6,2014,DEU,3735278366.0,83797985,3824049172030.187
822,Cemp,France,Wholesale,194.9,43.4,180137663.0,61076110.0,33,19,2007,FRA,3336947062.0,67971311,2603175697935.03
823,Heca S.r.l. Unipersonale,Italy,Fintech Financial Services & Insurance,194.8,43.4,1813723.0,615232.0,12,11,2009,ITA,6072359015.0,58940425,1919988802837.6548
824,Ulrich Müller Wealth Academy,Germany,Professional Scientific & Technical Services,194.2,43.3,5205000.0,1769000.0,12,4,2014,DEU,3735278366.0,83797985,3824049172030.187
825,Fifth Beat,Italy,IT & Software,194.1,43.3,5252725.0,1786076.0,40,18,2014,ITA,6072359015.0,58940425,1919988802837.6548
826,Fermeture Econ’Home,France,Retail,194.1,43.3,4569361.0,1553749.0,40,20,2012,FRA,3336947062.0,67971311,2603175697935.03
827,The Italian Sea Group,Italy,Manufacturing,193.7,43.2,294684000.0,100321000.0,530,256,1973,ITA,6072359015.0,58940425,1919988802837.6548
828,Inventya,UK,Management Consulting,193.4,43.2,4893610.0,1748146.0,51,27,2010,GBR,5744139508.0,66971395,2893534419072.2114
829,Revo Costruzioni,Italy,Construction & Engineering,193.3,43.1,8777645.0,2992560.0,14,5,2011,ITA,6072359015.0,58940425,1919988802837.6548
830,Purize Filters,Germany,Manufacturing,193.2,43.1,10732348.0,3660416.0,44,8,2017,DEU,3735278366.0,83797985,3824049172030.187
831,ScaleHub,Germany,IT & Software,192.8,43.1,5842260.0,1995095.0,26,20,2015,DEU,3735278366.0,83797985,3824049172030.187
832,Horizon Technology Group,Italy,Construction & Engineering,191.5,42.9,7937246.0,2722441.0,25,22,2014,ITA,6072359015.0,58940425,1919988802837.6548
833,mindit.io,Romania,IT & Software,191.5,42.8,13141237.0,4508400.0,238,99,2015,ROU,44316403.0,19047009,281657592101.90967
834,Ars Futura,Croatia,IT & Software,191.4,42.8,3746959.0,1285734.0,54,22,2013,HRV,45889717.0,3855600,67067766507.33766
835,Finelf.com,Poland,Fintech Financial Services & Insurance,191.0,42.8,3371937.0,1280186.0,35,10,2018,POL,1863345656.0,36821749,644566697354.571
836,Pape Martinihof,Germany,Construction & Engineering,190.8,42.7,3700000.0,1272445.0,29,18,2018,DEU,3735278366.0,83797985,3824049172030.187
837,Revesperfil,Portugal,Manufacturing,190.6,42.7,8849869.0,3045364.0,29,16,2006,PRT,1657826442.0,10409704,239042712346.92288
838,Solutel,France,Mechanical & Plant Engineering,190.1,42.6,3959151.0,1364794.0,36,15,2004,FRA,3336947062.0,67971311,2603175697935.03
839,Bomae,Denmark,Fintech Financial Services & Insurance,189.9,42.6,2773905.0,954627.0,25,10,2016,DNK,57589673.0,5903037,374836613381.8538
840,Panel Sandwich,Spain,Wholesale,189.9,42.6,20019765.0,6905281.0,38,25,2009,ESP,1443070953.0,47778340,1328053696748.224
841,Giglio.com,Italy,Ecommerce,189.9,42.6,51111860.0,17633287.0,123,49,2007,ITA,6072359015.0,58940425,1919988802837.6548
842,StorPool Storage,Bulgaria,IT & Software,188.8,42.4,5369589.0,1859569.0,36,24,2015,BGR,42711231.0,6465097,84627257359.31952
843,Spideo,France,IT & Software,188.7,42.4,3574551.0,1238332.0,35,22,2010,FRA,3336947062.0,67971311,2603175697935.03
844,Ministry of Programming,Bosnia and Herzegovina,IT & Software,188.5,42.4,9056847.0,3138890.0,175,60,2015,BIH,9056847.0,3233526,22924708381.262844
845,Integra,Italy,Manufacturing,188.5,42.4,1589200.0,550785.0,3,2,2018,ITA,6072359015.0,58940425,1919988802837.6548
846,SoPost,UK,Advertising & Marketing,187.7,42.2,15659900.0,5705489.0,69,38,2012,GBR,5744139508.0,66971395,2893534419072.2114
847,Gusti d’Italia,Italy,Food & Beverages,186.6,42.0,7252643.0,2530834.0,2,1,2009,ITA,6072359015.0,58940425,1919988802837.6548
848,Tecnoplast,Italy,Furniture & Interiors,186.3,42.0,69429446.0,24253649.0,207,103,2003,ITA,6072359015.0,58940425,1919988802837.6548
849,Hula Hoop,France,Advertising & Marketing,185.9,41.9,4490070.0,1570395.0,42,13,2011,FRA,3336947062.0,67971311,2603175697935.03
850,Portify,France,Employment Services,185.3,41.8,35673902.0,12505463.0,300,150,2017,FRA,3336947062.0,67971311,2603175697935.03
851,B1gas,Italy,Energy & Utilities,185.2,41.8,57997160.0,20333579.0,11,9,2010,ITA,6072359015.0,58940425,1919988802837.6548
852,Audebert Caoutchouc,France,Wholesale,185.1,41.8,9777209.0,3429887.0,11,5,1993,FRA,3336947062.0,67971311,2603175697935.03
853,IBN,France,Construction & Engineering,184.4,41.7,2904390.0,1021232.0,17,7,2013,FRA,3336947062.0,67971311,2603175697935.03
854,PersonalHub Holding,Germany,Employment Services,184.3,41.7,14500000.0,5100000.0,20,10,2013,DEU,3735278366.0,83797985,3824049172030.187
855,ISO Recruiting Consultants,Germany,Employment Services,184.2,41.7,18241100.0,6417815.0,23,15,2013,DEU,3735278366.0,83797985,3824049172030.187
856,50 Factory,France,Ecommerce,184.0,41.6,23669888.0,8333511.0,90,35,2010,FRA,3336947062.0,67971311,2603175697935.03
857,SVS,Italy,Construction & Engineering,184.0,41.6,23259540.0,8190341.0,19,5,2016,ITA,6072359015.0,58940425,1919988802837.6548
858,Xpron Systems,Germany,IT & Software,183.7,41.6,9776767.0,3446670.0,300,110,2005,DEU,3735278366.0,83797985,3824049172030.187
859,Vey Versorgungstechnik,Germany,Construction & Engineering,183.5,41.5,14883081.0,5249822.0,45,30,1955,DEU,3735278366.0,83797985,3824049172030.187
860,Ecovadis,France,Management Consulting,183.5,41.5,93874507.0,33117679.0,1358,557,2007,FRA,3336947062.0,67971311,2603175697935.03
861,V-Inox Outlet,Hungary,Wholesale,182.9,41.4,13034060.0,4606663.0,12,11,2015,HUN,240441941.0,9643048,166111976935.68777
862,Putetto,Italy,Construction & Engineering,182.6,41.4,5722685.0,2024862.0,21,12,2006,ITA,6072359015.0,58940425,1919988802837.6548
863,Bitnoise,Poland,IT & Software,182.5,41.4,2393907.0,936505.0,55,24,2016,POL,1863345656.0,36821749,644566697354.571
864,Spotler Group,Netherlands,IT & Software,182.3,41.3,40656298.0,14399905.0,248,125,2016,NLD,367871630.0,17700982,945503780118.286
865,TMC Italia,Italy,Professional Scientific & Technical Services,182.0,41.3,13433161.0,4762961.0,146,65,2015,ITA,6072359015.0,58940425,1919988802837.6548
866,Laelle Trasporti,Italy,Logistics & Transportation,181.9,41.3,3191294.0,1131939.0,2,2,2018,ITA,6072359015.0,58940425,1919988802837.6548
867,CyberIAM,UK,IT & Software,181.9,41.3,11166210.0,4151349.0,141,36,2017,GBR,5744139508.0,66971395,2893534419072.2114
868,Nemo Consulting,Italy,Management Consulting,181.7,41.2,1907027.0,677051.0,7,3,2018,ITA,6072359015.0,58940425,1919988802837.6548
869,Cobral,Italy,Manufacturing,181.7,41.2,66831156.0,23727134.0,14,10,2010,ITA,6072359015.0,58940425,1919988802837.6548
870,Virtimo,Germany,IT & Software,181.4,41.2,15872167.0,5640002.0,49,29,2010,DEU,3735278366.0,83797985,3824049172030.187
871,Wabra Tec,Germany,Construction & Engineering,181.4,41.2,1923493.0,683510.0,17,8,2012,DEU,3735278366.0,83797985,3824049172030.187
872,JL&P,France,Energy & Utilities,181.4,41.2,5056577.0,1796941.0,17,7,2017,FRA,3336947062.0,67971311,2603175697935.03
873,ZMT Hungary,Hungary,Manufacturing,181.3,41.2,3789562.0,1630160.0,87,58,2011,HUN,240441941.0,9643048,166111976935.68777
874,Deolab,Italy,Retail,181.1,41.1,3494126.0,1242880.0,9,2,2018,ITA,6072359015.0,58940425,1919988802837.6548
875,Beyer Betonwaren,Germany,Construction & Engineering,181.1,41.1,2972921.0,1057659.0,15,10,2017,DEU,3735278366.0,83797985,3824049172030.187
876,Polarstern,Germany,Energy & Utilities,180.7,41.1,60496560.0,21551962.0,50,35,2011,DEU,3735278366.0,83797985,3824049172030.187
877,Adameo,France,Management Consulting,180.6,41.1,9477405.0,3376958.0,70,55,2011,FRA,3336947062.0,67971311,2603175697935.03
878,Geatop,Italy,Professional Scientific & Technical Services,180.5,41.0,3302603.0,1177390.0,32,9,2008,ITA,6072359015.0,58940425,1919988802837.6548
879,Logistic Service,Italy,Logistics & Transportation,180.1,41.0,2105162.0,751544.0,28,2,2018,ITA,6072359015.0,58940425,1919988802837.6548
880,Munari Group,Italy,Energy & Utilities,179.6,40.9,8947563.0,3199624.0,9,3,2011,ITA,6072359015.0,58940425,1919988802837.6548
881,Anthesis Group,UK,Professional Scientific & Technical Services,179.4,40.8,87155555.0,32689569.0,1100,580,2013,GBR,5744139508.0,66971395,2893534419072.2114
882,Fonderie Pandolfo,Italy,Manufacturing,179.4,40.8,268275870.0,96025739.0,77,66,2003,ITA,6072359015.0,58940425,1919988802837.6548
883,Effezeta System,Italy,Furniture & Interiors,179.4,40.8,12814813.0,4586917.0,70,45,2009,ITA,6072359015.0,58940425,1919988802837.6548
884,Geva Group,Germany,IT & Software,179.2,40.8,9866529.0,3534107.0,69,27,2013,DEU,3735278366.0,83797985,3824049172030.187
885,My Jewellery,Netherlands,Apparel & Fashion,179.1,40.8,73364000.0,26290000.0,755,317,2011,NLD,367871630.0,17700982,945503780118.286
886,Fortris,Spain,Fintech Financial Services & Insurance,178.9,40.8,7767328.0,2784544.0,93,36,2017,ESP,1443070953.0,47778340,1328053696748.224
887,La Vida,UK,Professional Scientific & Technical Services,178.3,40.7,14033606.0,5285684.0,16,10,2002,GBR,5744139508.0,66971395,2893534419072.2114
888,Yocabè,Italy,Ecommerce,178.2,40.6,5479292.0,1969579.0,15,9,2016,ITA,6072359015.0,58940425,1919988802837.6548
889,Les Constructeurs du Bois,France,Real Estate,178.0,40.6,10918555.0,3928155.0,16,12,2011,FRA,3336947062.0,67971311,2603175697935.03
890,Draivi,Finland,Fintech Financial Services & Insurance,177.9,40.6,9309061.0,3349729.0,10,9,2012,FIN,522337495.0,5556106,264758103263.71317
891,Variosan,Germany,Furniture & Interiors,177.8,40.6,5390400.0,1940444.0,5,4,2013,DEU,3735278366.0,83797985,3824049172030.187
892,Ottopuntozero,Italy,Furniture & Interiors,177.7,40.6,4387862.0,1580043.0,5,2,2016,ITA,6072359015.0,58940425,1919988802837.6548
893,Babylon Cloud,Italy,IT & Software,177.7,40.6,2833456.0,1020404.0,32,15,2014,ITA,6072359015.0,58940425,1919988802837.6548
894,BetterGov,UK,Management Consulting,177.6,40.5,9849748.0,3718366.0,8,9,2016,GBR,5744139508.0,66971395,2893534419072.2114
895,JR Service,Germany,Construction & Engineering,177.0,40.4,7794411.0,2813400.0,133,65,2014,DEU,3735278366.0,83797985,3824049172030.187
896,C.G.M. Gruppi Elettrogeni,Italy,Mechanical & Plant Engineering,176.7,40.4,55427169.0,20034921.0,55,34,2000,ITA,6072359015.0,58940425,1919988802837.6548
897,Sourcing Force,France,Management Consulting,176.3,40.3,13637841.0,4935245.0,32,15,2012,FRA,3336947062.0,67971311,2603175697935.03
898,Leasy,France,Fintech Financial Services & Insurance,176.3,40.3,16530400.0,5982187.0,5,3,2015,FRA,3336947062.0,67971311,2603175697935.03
